"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
108,"44109","NANTES","75_99","all",7,22648,0.309078064288237,"Fédération Française de cyclisme",196
108,"44109","NANTES","20_29","all",30,61559,0.487337351159051,"Fédération Française de cyclisme",197
108,"44109","NANTES","60_74","f",2,16920,0.118203309692671,"Fédération Française de cyclisme",198
108,"44109","NANTES","20_29","h",27,30378,0.888801106063599,"Fédération Française de cyclisme",199
108,"44109","NANTES","all","f",15,150160,0.0998934469898775,"Fédération Française de cyclisme",200
108,"44109","NANTES","10_14","all",40,13768,2.90528762347472,"Fédération Française de cyclisme",201
108,"44109","NANTES","5_9","all",17,14424,1.17859123682751,"Fédération Française de cyclisme",202
108,"44109","NANTES","75_99","f",1,15255,0.0655522779416585,"Fédération Française de cyclisme",203
108,"44109","NANTES","75_99","h",6,7393,0.811578520221831,"Fédération Française de cyclisme",204
108,"44109","NANTES","30_44","all",37,56868,0.650629528029823,"Fédération Française de cyclisme",205
108,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française de cyclisme",206
108,"44109","NANTES","30_44","h",34,29334,1.15906456671439,"Fédération Française de cyclisme",207
108,"44109","NANTES","45_59","h",36,22614,1.59193420005306,"Fédération Française de cyclisme",208
108,"44109","NANTES","45_59","f",2,25920,0.0771604938271605,"Fédération Française de cyclisme",209
108,"44109","NANTES","15_19","all",22,21451,1.02559321243765,"Fédération Française de cyclisme",210
109,"44109","NANTES","15_19","f",403,11317,35.6101440311037,"Fédération Française d'équitation",211
109,"44109","NANTES","20_29","f",323,31181,10.3588723902376,"Fédération Française d'équitation",212
109,"44109","NANTES","0_4","h",1,8470,0.118063754427391,"Fédération Française d'équitation",213
109,"44109","NANTES","5_9","h",48,7228,6.64084117321527,"Fédération Française d'équitation",214
109,"44109","NANTES","all","h",351,134799,2.60387688335967,"Fédération Française d'équitation",215
109,"44109","NANTES","10_14","h",83,6932,11.9734564339296,"Fédération Française d'équitation",216
109,"44109","NANTES","15_19","h",36,10134,3.55239786856128,"Fédération Française d'équitation",217
109,"44109","NANTES","10_14","f",725,6837,106.040661108673,"Fédération Française d'équitation",218
109,"44109","NANTES","all","f",1954,150160,13.0127863612147,"Fédération Française d'équitation",219
109,"44109","NANTES","75_99","all",0,22648,0,"Fédération Française d'équitation",220
109,"44109","NANTES","30_44","f",167,27534,6.06522844483184,"Fédération Française d'équitation",221
109,"44109","NANTES","45_59","f",87,25920,3.35648148148148,"Fédération Française d'équitation",222
109,"44109","NANTES","60_74","all",31,29235,1.06037284077305,"Fédération Française d'équitation",223
109,"44109","NANTES","60_74","f",5,16920,0.295508274231678,"Fédération Française d'équitation",224
109,"44109","NANTES","75_99","f",0,15255,0,"Fédération Française d'équitation",225
109,"44109","NANTES","20_29","h",46,30378,1.5142537362565,"Fédération Française d'équitation",226
109,"44109","NANTES","0_4","f",6,8001,0.749906261717285,"Fédération Française d'équitation",227
109,"44109","NANTES","5_9","f",238,7196,33.0739299610895,"Fédération Française d'équitation",228
109,"44109","NANTES","all","all",2306,284959,8.09239223888349,"Fédération Française d'équitation",229
109,"44109","NANTES","0_4","all",7,16471,0.424989375265618,"Fédération Française d'équitation",230
109,"44109","NANTES","20_29","all",369,61559,5.99424941925632,"Fédération Française d'équitation",231
109,"44109","NANTES","60_74","h",26,12316,2.11107502435856,"Fédération Française d'équitation",232
109,"44109","NANTES","75_99","h",0,7393,0,"Fédération Française d'équitation",233
109,"44109","NANTES","45_59","all",155,48534,3.19363745003503,"Fédération Française d'équitation",234
109,"44109","NANTES","5_9","all",286,14424,19.8280643372157,"Fédération Française d'équitation",235
109,"44109","NANTES","30_44","h",42,29334,1.43178564123543,"Fédération Française d'équitation",236
109,"44109","NANTES","45_59","h",68,22614,3.00698682232245,"Fédération Française d'équitation",237
109,"44109","NANTES","10_14","all",808,13768,58.6868099941894,"Fédération Française d'équitation",238
109,"44109","NANTES","15_19","all",439,21451,20.4652463754604,"Fédération Française d'équitation",239
109,"44109","NANTES","30_44","all",210,56868,3.69276218611521,"Fédération Française d'équitation",240
110,"44109","NANTES","5_9","h",59,7228,8.16270060874377,"Fédération Française d'escrime",241
110,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française d'escrime",242
110,"44109","NANTES","20_29","f",10,31181,0.320708123536769,"Fédération Française d'escrime",243
110,"44109","NANTES","10_14","h",90,6932,12.9832660126947,"Fédération Française d'escrime",244
110,"44109","NANTES","20_29","h",33,30378,1.08631246296662,"Fédération Française d'escrime",245
110,"44109","NANTES","15_19","f",17,11317,1.50216488468675,"Fédération Française d'escrime",246
110,"44109","NANTES","all","all",362,284959,1.27035819188024,"Fédération Française d'escrime",247
110,"44109","NANTES","all","h",276,134799,2.04749293392384,"Fédération Française d'escrime",248
110,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française d'escrime",249
110,"44109","NANTES","5_9","f",8,7196,1.11172873818788,"Fédération Française d'escrime",250
110,"44109","NANTES","30_44","all",46,56868,0.808890764577618,"Fédération Française d'escrime",251
110,"44109","NANTES","30_44","f",13,27534,0.472143531633617,"Fédération Française d'escrime",252
